Company/Bond,Net Debt/EBITDA,Total Debt/EBIT,Net Debt/EBIT,EBITDA to Interest Expense,EBITDA-CapEx/Interest Expense,EBIT to Interest Expense,Interest Expense,Common Equity/Total Assets,Long-Term Debt/Equity,Long-Term Debt/Capital,Long-Term Debt/Total Assets,Total Debt/Equity,Total Debt/Capital,Total Debt/Total Assets,Num Rating 1 Q Ahead,Market Cap,Industry_Number
2,3.43,7.34,6.7,3.27,2.56,1.69,84.1,19.91,308.81,73.15,61.48,322.16,76.31,64.14,2,4614.0461,0
2,3.6,7.46,6.95,2.99,2.38,1.61,85.2,17.84,347.94,74.39,62.07,367.71,78.62,65.6,2,4534.3314,0
2,3.57,7.17,6.72,3.51,2.36,1.93,85.7,16.21,383.48,75.89,62.16,405.34,80.21,65.7,2,4013.4946,0
2,3.53,6.98,6.51,3.27,2.76,1.84,85.4,15.67,399.99,76.49,62.66,422.9,80.88,66.25,2,4350.7022,0
2,3.43,6.36,6.13,3.39,2.75,1.99,85.3,15.04,427.37,80.25,64.29,432.52,81.22,65.06,2,4184.9262,0
2,3.11,6.11,5.47,3.38,2.59,1.96,82.2,15.82,401.48,79.45,63.51,405.32,80.21,64.12,2,4514.7586,0
2,3.09,6.98,5.37,3.29,2.03,1.88,83.5,15.58,421.61,80.26,65.68,425.32,80.96,66.26,2,4630.948,0
2,3.71,7.83,6.3,3.36,2.88,2.06,94,16,361.21,71.6,57.78,404.5,80.18,64.71,2,5129.7786,0
2,3.66,6.93,6.32,3.16,2.48,1.74,98.6,16.34,382.07,78.82,62.42,384.74,79.37,62.85,2,5195.6175,0
2,3.71,6.88,6.52,3.19,2.24,1.74,95.2,14.3,450.42,81.8,64.4,450.65,81.84,64.43,2,4724.7408,0
2,3.61,6.72,6.4,3.44,2.23,1.88,92.9,13.75,474.69,82.56,65.28,474.93,82.61,65.32,2,4172.2448,0
2,3.64,7.02,6.69,3.36,2.83,1.81,90.9,13.18,505.14,83.42,66.59,505.55,83.49,66.65,2,3424.2927,0
2,3.7,7.12,6.85,3.38,2.54,1.79,90.7,11.84,571.71,85.05,67.68,572.17,85.12,67.74,2,3610.8941,0
2,3.78,7.14,7,3.34,2.45,1.82,90.3,10.46,659.37,86.77,68.96,659.91,86.84,69.02,2,3581.675,0
2,3.79,7.36,7.1,3.2,2.28,1.67,90.7,7.53,891.55,89.85,68.54,892.28,89.92,68.6,2,2720.8844,0
2,3.87,7.65,7.36,3.12,2.51,1.57,88.7,7.09,957.19,90.47,69.42,957.97,90.55,69.48,2,2242.7735,0
2,3.95,8.36,7.59,2.73,2.17,1.38,98.7,6.24,1103.4,91.57,70.46,1105.02,91.7,70.56,2,2230.2718,0
2,4.02,8.17,7.44,2.85,2.29,1.79,96.6,5.97,1142.25,91.83,69.98,1143.94,91.96,70.08,2,2354.9456,0
2,4.1,7.92,7.33,2.76,1.79,1.67,94.2,4.76,1413.91,93.26,69.7,1416.04,93.4,69.8,2,2439.2817,0
2,4.19,7.64,7.12,2.8,2.06,1.73,93.8,4.37,1559.17,93.84,70.6,1561.52,93.98,70.71,2,2331.7704,0
2,4.42,7.65,7.28,2.52,1.6,1.45,94,3.82,1767.31,94.51,70.61,1769.96,94.65,70.72,2,2228.2171,0
2,5.93,11.98,11.47,3.44,2.4,1.4,166.6,29.57,153.39,60.18,45.47,154.89,60.77,45.91,2,8120.0241,0
2,4.81,10.7,10.38,3.54,2.06,1.43,167.5,29.05,153.25,59.26,44.63,158.62,61.33,46.19,2,9670.2092,0
2,3.94,9.6,9.19,3.59,2.35,1.5,167.4,28.51,157.18,59.83,44.92,162.69,61.93,46.49,2,8180.7495,0
2,3.36,8.51,8.27,3.58,2.24,1.43,166.9,27.86,161.91,60.86,45.23,166.03,62.41,46.38,2,8031.5384,0
2,3.44,9.02,8.79,3.21,1.6,1.09,165.8,27.22,170.65,62.84,46.59,171.56,63.18,46.84,2,6080.2871,0
2,3.46,9.23,8.86,3.46,2.7,1.4,165.2,25.52,183.61,64.26,47,185.72,65,47.53,2,5124.9092,0
2,3.5,9.67,9.24,3.43,2.07,1.26,164.9,25.48,173.06,60.01,44.22,188.39,65.32,48.14,2,4163.795,0
2,3.51,9.34,8.88,3.34,2.3,1.56,172.1,25.17,177.08,60.79,44.74,191.32,65.67,48.33,2,3824.2588,0
2,3.39,9.02,7.9,3.33,2.14,1.6,172.2,24.04,191.89,62.76,46.29,205.75,67.29,49.64,2,4907.3965,0
2,3.38,9.06,7.71,3.02,1.94,1.32,178.9,23.16,203.48,64.17,47.27,217.09,68.46,50.43,2,4273.1948,0
2,3.37,8.18,7.33,3.23,2.13,1.46,171.4,23.88,205.6,66.97,49.2,207.02,67.43,49.54,2,3982.5427,0
2,3.41,7.94,7.4,3.39,2.56,1.6,166.5,23.7,200.79,65.33,47.6,207.34,67.46,49.15,2,4052.1181,0
2,3.48,8.49,7.81,3,2.04,1.26,163.8,23.68,201.92,65.45,47.82,208.53,67.59,49.38,2,4177.9811,0
2,3.37,8.29,7.39,3.26,2.35,1.56,165.6,24.38,194.15,64.61,47.33,200.51,66.72,48.88,2,4647.4983,0
2,3.41,8.5,7.5,2.97,2.12,1.32,171,24.27,194.18,64.02,47.14,203.33,67.03,49.36,2,5718.0131,0
2,3.49,8.66,7.78,2.97,2.03,1.34,167.6,24.37,194.03,64.53,47.29,200.69,66.74,48.91,2,5852.445,0
2,4.31,10.44,9.55,2.69,1.55,1.16,170.4,22.07,235.98,68.85,52.07,242.73,70.82,53.56,2,6523.5473,0
2,4.6,11.82,10.99,2.66,1.49,0.92,186.6,19.45,256.78,70.36,49.94,264.93,72.6,51.52,2,6686.4682,0
3,-2.32,0.34,-2.6,205.57,170,173.6,53,61.72,13.75,12.09,8.49,13.75,12.09,8.49,0,434095.0757,1
3,-2.33,0.35,-2.65,142.33,118.77,120.84,83,59.69,13.73,12.07,8.19,13.73,12.07,8.19,0,499850.6402,1
3,-2.51,0.34,-2.88,233.42,209.79,207.89,84,57.59,13.08,11.57,7.53,13.08,11.57,7.53,0,462636.4207,1
