Data Date,Company Number,Long-term Debt/Invested Capital,Total Debt/Invested Capital,Receivables/Current Assets,Total Debt/Total Assets,Total Debt/EBITDA,Long-term Debt/Total Liabilities,Cash Flow/Total Debt,Long-term Debt/Book Equity,Total Debt/Total Assets,Total Debt/Capital,Total Debt/Equity,Interest Coverage Ratio,Quick Ratio (Acid Test),Current Ratio,Cash Conversion Cycle (Days),Rating 1Q Number
20100930,103,0.187,0.187,0.065,0.1,0.681,0.175,0.199,0.231,0.568,0.27,1.331,23.794,0.615,1.431,64.984,1
20101231,103,0.267,0.267,0.17,0.148,1.055,0.248,0.134,0.365,0.595,0.345,1.49,23.825,0.931,1.48,55.018,1
20110331,103,0.228,0.228,0.071,0.125,0.874,0.216,0.134,0.294,0.578,0.306,1.387,21.715,0.656,1.436,61.583,1
20110630,103,0.245,0.245,0.098,0.137,0.984,0.238,0.134,0.321,0.578,0.32,1.386,19.83,0.738,1.473,60.357,1
20110930,103,0.262,0.262,0.179,0.149,1.083,0.256,0.134,0.35,0.581,0.333,1.408,18.684,0.973,1.471,56.834,1
20111231,103,0.356,0.356,0.141,0.178,1.336,0.263,0.12,0.563,0.677,0.428,2.141,17.436,0.939,1.519,56.646,1
20120331,103,0.304,0.304,0.151,0.165,1.189,0.265,0.12,0.436,0.623,0.371,1.679,16.788,1.003,1.511,61.801,1
20120630,103,0.326,0.326,0.148,0.173,1.233,0.27,0.12,0.487,0.642,0.39,1.825,16.543,0.999,1.536,63.363,1
20120930,103,0.346,0.346,0.143,0.18,1.281,0.273,0.12,0.538,0.659,0.407,1.969,16.186,1.003,1.591,64.499,1
20121231,103,0.366,0.366,0.147,0.177,1.358,0.256,0.106,0.589,0.693,0.431,2.305,15.07,0.962,1.567,61.691,1
20130331,103,0.35,0.35,0.148,0.179,1.345,0.269,0.106,0.549,0.667,0.41,2.042,14.814,1.001,1.619,66.141,1
20130630,103,0.352,0.352,0.146,0.178,1.344,0.265,0.106,0.553,0.672,0.411,2.087,14.734,1,1.64,65.857,1
20130930,103,0.355,0.355,0.144,0.178,1.363,0.262,0.106,0.561,0.677,0.414,2.139,14.336,0.993,1.649,66.634,1
20131231,103,0.297,0.297,0.134,0.182,1.381,0.321,0.161,0.417,0.569,0.349,1.338,14.205,1.015,1.69,70.607,1
20140331,103,0.318,0.318,0.134,0.179,1.349,0.291,0.161,0.471,0.616,0.371,1.634,14.74,1.022,1.702,78.022,1
20140630,103,0.302,0.302,0.131,0.179,1.355,0.306,0.161,0.437,0.587,0.353,1.441,14.617,1.003,1.713,80.161,1
20140930,103,0.289,0.289,0.129,0.18,1.353,0.323,0.161,0.409,0.557,0.337,1.274,14.641,0.998,1.728,82.229,1
19980831,104,0.685,0.709,0.659,0.51,8.165,0.638,0.025,1.393,0.773,0.704,3.404,1.666,1.15,1.276,61.187,3
19981130,104,0.683,0.706,0.694,0.513,5.287,0.644,0.025,1.474,0.77,0.703,3.346,1.791,1.168,1.28,53.399,3
19990228,104,0.675,0.699,0.675,0.505,5.092,0.637,0.025,1.405,0.765,0.696,3.263,1.811,1.14,1.263,51.208,3
19990531,104,0.67,0.695,0.653,0.503,4.716,0.638,0.025,1.361,0.761,0.691,3.187,1.92,1.176,1.307,49.263,3
19990831,104,0.595,0.622,0.672,0.451,4.092,0.61,0.023,1.024,0.706,0.625,2.406,1.958,1.25,1.394,49.575,3
19950331,120,0.243,0.546,0,0.326,1.952,0.265,0.147,0.301,0.548,0.525,1.215,5.363,0,0,71.485,2
19950630,120,0.27,0.526,0,0.33,1.809,0.312,0.147,0.338,0.542,0.513,1.184,5.687,0,0,71.37,2
19950930,120,0.257,0.533,0,0.331,1.792,0.296,0.147,0.322,0.539,0.512,1.171,5.81,0,0,73.902,2
19951231,120,0.243,0.512,0,0.321,1.688,0.29,0.147,0.303,0.526,0.5,1.111,5.898,0,0,74.804,2
19960331,120,0.194,0.456,0,0.29,1.434,0.253,0.177,0.231,0.488,0.464,0.951,6.413,0,0,70.189,2
19960630,120,0.218,0.445,0,0.29,1.426,0.289,0.177,0.267,0.491,0.465,0.965,6.877,0,0,75.584,2
19960930,120,0.202,0.403,0,0.267,1.291,0.284,0.177,0.243,0.471,0.445,0.892,7.697,0,0,74.053,2
19961231,120,0.196,0.357,0,0.242,1.178,0.291,0.177,0.237,0.457,0.432,0.845,9.012,0,0,69.526,2
19970331,120,0.157,0.253,0,0.179,0.803,0.275,0.594,0.181,0.403,0.384,0.676,10.009,0,0,66.95,2
19970630,120,0.179,0.29,0,0.203,0.97,0.293,0.594,0.212,0.426,0.403,0.746,10.93,0,0,60.895,2
19970930,120,0.174,0.284,0,0.198,0.923,0.287,0.594,0.205,0.423,0.404,0.737,11.844,0,0,57.341,2
19971231,120,0.16,0.285,0,0.198,0.87,0.266,0.594,0.185,0.417,0.399,0.716,12.09,0,0,55.927,2
19980331,120,0.119,0.249,0,0.159,0.75,0.175,0.176,0.132,0.436,0.418,0.773,12.244,0,0,47.151,2
19980630,120,0.141,0.262,0,0.177,0.765,0.226,0.176,0.159,0.42,0.399,0.724,13.319,0,0,50.699,2
19980930,120,0.13,0.232,0,0.158,0.679,0.216,0.176,0.145,0.409,0.387,0.692,14.231,0,0,48.435,2
19981231,120,0.12,0.229,0,0.155,0.696,0.199,0.176,0.132,0.407,0.386,0.687,14.5,0,0,48.458,2
19990331,120,0.089,0.286,0,0.179,0.845,0.129,0.243,0.095,0.431,0.411,0.757,13.966,0,0,45.6,2
19990630,120,0.107,0.256,0,0.168,0.769,0.17,0.243,0.116,0.413,0.394,0.704,13.789,0,0,48.951,2
19990930,120,0.1,0.265,0,0.172,0.781,0.156,0.243,0.107,0.415,0.395,0.71,13.698,0,0,48.978,2
19991231,120,0.093,0.269,0,0.175,0.788,0.147,0.243,0.099,0.411,0.388,0.697,13.403,0,0,51.21,2
20000331,120,0.038,0.252,0,0.153,0.739,0.055,0.38,0.037,0.416,0.382,0.713,13.676,0,0,49.593,2
20000630,120,0.068,0.269,0,0.171,0.9,0.107,0.38,0.07,0.407,0.376,0.686,11.173,0,0,55.809,2
20000930,120,0.056,0.289,0,0.179,1.103,0.084,0.38,0.057,0.416,0.384,0.712,8.421,0,0,56.917,2
20001231,120,0.046,0.336,0,0.198,1.578,0.063,0.38,0.046,0.437,0.409,0.776,5.139,0,0,58.762,2
20010331,120,0.02,0.6,0,0.295,3.281,0.019,0.096,0.02,0.519,0.506,1.077,2.588,0,0,55.65,2
20010331,120,0.02,0.6,0,0.295,3.281,0.019,0.096,0.02,0.519,0.506,1.077,2.588,0,0,55.65,2
20010630,120,0.02,0.6,0,0.295,3.281,0.019,0.096,0.02,0.519,0.506,1.077,2.588,0,0,55.65,2
20010930,120,0.02,0.6,0,0.295,3.281,0.019,0.096,0.02,0.519,0.506,1.077,2.588,0,0,55.65,2
20011231,120,0.315,0.323,0,0.244,4.174,0.493,0,0.46,0.483,0.472,0.934,2.207,0,0,0,2
20020331,120,0.206,0.382,0,0.249,3.469,0.279,0,0.256,0.482,0.466,0.93,1.523,0,0,27.246,2
20020630,120,0.262,0.34,0,0.241,4.134,0.389,0,0.351,0.477,0.46,0.91,0.774,0,0,18.586,2
20020930,120,0.315,0.319,0,0.244,4.374,0.508,0,0.457,0.474,0.457,0.903,0.565,0,0,10.459,3
20021231,120,0.308,0.338,0,0.252,4.821,0.473,0.128,0.445,0.484,0.469,0.94,0.295,0,0,2.253,3
20030331,120,0.32,0.329,0,0.251,5.201,0.506,0.128,0.47,0.482,0.463,0.929,0.09,0,0,0.88,3
20030630,120,0.323,0.326,0,0.247,4.784,0.502,0.128,0.483,0.487,0.467,0.949,0.29,0,0,2.253,3
20030930,120,0.325,0.323,0,0.244,5.163,0.502,0.128,0.496,0.49,0.471,0.961,0.196,0,0,2.253,3
20031231,120,0.269,0.272,0,0.197,3.992,0.414,0.121,0.371,0.471,0.459,0.937,0.384,0,0,0,3
