Data Date,Company Number,Long-term Debt/Invested Capital,Total Debt/Invested Capital,Receivables/Current Assets,Total Debt/Total Assets,Total Debt/EBITDA,Long-term Debt/Total Liabilities,Cash Flow/Total Debt,Long-term Debt/Book Equity,Total Debt/Total Assets,Total Debt/Capital,Total Debt/Equity,Interest Coverage Ratio,Quick Ratio (Acid Test),Current Ratio,Cash Conversion Cycle (Days),Rating 1Q Number
20030630,25,0.242,0.264,0.224,0.146,1.06,0.23,0.13,0.288,0.581,0.507,1.387,0,0.769,1.811,32.364,1
20030930,25,0.25,0.263,0.224,0.138,0.994,0.216,0.13,0.324,0.607,0.543,1.541,0,0.638,1.702,33.302,1
20031231,25,0.248,0.266,0.235,0.14,1.059,0.215,0.13,0.32,0.605,0.539,1.529,0,0.634,1.675,33.145,1
20040331,25,0.248,0.267,0.25,0.139,1.082,0.213,0.13,0.321,0.607,0.541,1.544,0,0.639,1.652,32.34,1
20040630,25,0.262,0.342,0.28,0.173,1.372,0.212,0.196,0.321,0.627,0.559,1.679,0,0.596,1.394,28.84,1
20040930,25,0.253,0.29,0.268,0.147,1.295,0.207,0.196,0.33,0.622,0.558,1.643,0,0.582,1.479,27.542,2
20041231,25,0.246,0.286,0.26,0.144,1.289,0.2,0.196,0.318,0.62,0.556,1.634,0,0.567,1.425,24.329,2
20050331,25,0.238,0.289,0.256,0.145,1.287,0.192,0.196,0.304,0.618,0.555,1.619,0,0.569,1.378,21.102,2
20050630,25,0.213,0.241,0.277,0.119,1.029,0.172,0.212,0.249,0.61,0.544,1.567,0,0.6,1.33,20.086,2
20050930,25,0.21,0.249,0.26,0.123,1.072,0.17,0.212,0.26,0.61,0.545,1.563,0,0.594,1.35,17.451,2
20051231,25,0.212,0.251,0.267,0.123,1.12,0.169,0.212,0.264,0.614,0.55,1.59,0,0.629,1.343,15.823,2
20060331,25,0.217,0.249,0.273,0.121,1.171,0.169,0.212,0.271,0.621,0.557,1.64,0,0.647,1.334,14.72,2
20060630,25,0.234,0.255,0.3,0.121,1.131,0.175,0.144,0.283,0.637,0.582,1.753,0,0.621,1.299,14.602,2
20060930,25,0.232,0.26,0.282,0.124,1.255,0.174,0.144,0.302,0.634,0.576,1.735,0,0.643,1.31,13.199,2
20061231,25,0.237,0.257,0.285,0.122,1.208,0.178,0.144,0.311,0.636,0.579,1.749,0,0.687,1.343,12.848,2
20070331,25,0.247,0.267,0.288,0.126,1.214,0.18,0.144,0.328,0.646,0.589,1.827,0,0.711,1.343,12.544,2
20070630,25,0.319,0.321,0.35,0.15,1.403,0.219,0.078,0.43,0.681,0.631,2.139,0,0.625,1.269,13.091,2
20070930,25,0.288,0.305,0.316,0.142,1.319,0.199,0.078,0.397,0.67,0.616,2.029,0,0.72,1.341,12.674,2
20071231,25,0.308,0.34,0.338,0.154,1.424,0.203,0.078,0.436,0.687,0.635,2.192,0,0.665,1.297,13.343,2
20080331,25,0.32,0.354,0.358,0.162,1.473,0.212,0.078,0.461,0.689,0.639,2.221,0,0.644,1.297,13.793,2
20080630,25,0.322,0.336,0.381,0.164,1.483,0.235,0.096,0.443,0.67,0.611,2.027,0,0.715,1.367,13.903,2
20080930,25,0.319,0.35,0.377,0.163,1.646,0.217,0.096,0.46,0.683,0.629,2.155,0,0.669,1.331,15.346,2
20081231,25,0.312,0.337,0.378,0.158,1.789,0.216,0.096,0.445,0.678,0.623,2.101,0,0.664,1.343,15.832,2
20090331,25,0.302,0.328,0.385,0.153,1.997,0.21,0.096,0.426,0.673,0.62,2.061,0,0.665,1.35,16.386,2
20090630,25,0.273,0.304,0.384,0.145,1.463,0.2,0.096,0.354,0.653,0.594,1.879,0,0.759,1.386,14.16,2
20090930,25,0.285,0.322,0.381,0.142,2.036,0.183,0.096,0.392,0.685,0.635,2.179,12.019,0.682,1.331,14.349,2
20091231,25,0.283,0.312,0.371,0.129,1.763,0.167,0.096,0.387,0.703,0.654,2.363,11.676,0.684,1.314,12.195,2
20100331,25,0.278,0.307,0.36,0.118,1.543,0.148,0.096,0.377,0.723,0.677,2.614,11.716,0.685,1.287,9.895,2
20100630,25,0.264,0.297,0.348,0.107,1.308,0.129,0.145,0.353,0.736,0.688,2.789,12.189,0.742,1.293,10.951,2
20100930,25,0.269,0.294,0.339,0.102,1.256,0.126,0.145,0.367,0.746,0.702,2.936,14.101,0.69,1.274,7.301,2
20101231,25,0.275,0.308,0.348,0.106,1.313,0.126,0.145,0.377,0.75,0.708,2.995,15.114,0.679,1.255,7.244,2
20110331,25,0.284,0.312,0.357,0.108,1.285,0.131,0.145,0.394,0.752,0.711,3.029,16.373,0.668,1.242,7.117,2
20110630,25,0.271,0.312,0.378,0.11,1.325,0.128,0.082,0.367,0.744,0.703,2.906,16.991,0.672,1.22,6.942,1
20110930,25,0.287,0.32,0.371,0.111,1.304,0.131,0.082,0.401,0.754,0.716,3.067,17.263,0.644,1.21,6.811,1
20111231,25,0.279,0.313,0.366,0.108,1.236,0.127,0.082,0.385,0.752,0.713,3.039,17.928,0.649,1.215,6.749,1
20120331,25,0.27,0.312,0.361,0.107,1.231,0.123,0.082,0.369,0.75,0.711,3.001,18.561,0.652,1.216,6.78,1
20120630,25,0.279,0.334,0.365,0.119,1.373,0.134,0.065,0.378,0.743,0.701,2.885,18.821,0.681,1.235,7.36,1
20120930,25,0.272,0.321,0.355,0.111,1.266,0.126,0.065,0.372,0.748,0.708,2.968,18.595,0.657,1.224,7.423,1
20121231,25,0.272,0.323,0.357,0.114,1.272,0.129,0.065,0.371,0.743,0.702,2.887,18.287,0.67,1.234,7.87,1
20130331,25,0.297,0.348,0.356,0.128,1.412,0.147,0.065,0.421,0.742,0.701,2.879,17.085,0.67,1.24,8.542,1
20130630,25,0.382,0.399,0.356,0.149,1.669,0.186,0.087,0.592,0.769,0.73,3.321,15.683,0.644,1.218,8.153,1
20130930,25,0.345,0.378,0.342,0.146,1.546,0.179,0.087,0.522,0.746,0.705,2.939,15.131,0.666,1.248,8.102,1
20131231,25,0.365,0.391,0.327,0.156,1.614,0.195,0.087,0.569,0.747,0.706,2.946,14.684,0.665,1.256,7.7,1
20140331,25,0.367,0.389,0.308,0.157,1.607,0.199,0.087,0.575,0.744,0.704,2.912,14.404,0.668,1.268,7.227,1
20140630,25,0.331,0.415,0.303,0.153,1.656,0.162,0.129,0.472,0.754,0.716,3.067,14.632,0.64,1.187,6.942,1
20140930,25,0.347,0.401,0.298,0.156,1.634,0.181,0.129,0.525,0.746,0.707,2.936,14.724,0.651,1.233,6.517,1
19950331,70,0.22,0.5,0.353,0.277,1.712,0.214,0.167,0.273,0.568,0.424,1.316,11.571,0.734,0.971,194.52,0
19950630,70,0.239,0.586,0.395,0.314,1.969,0.216,0.167,0.302,0.592,0.471,1.45,8.458,0.653,0.842,156.747,0
19950930,70,0.261,0.655,0.437,0.341,2.12,0.221,0.167,0.339,0.615,0.508,1.597,6.566,0.585,0.743,122.433,0
19951231,70,0.323,0.561,0.437,0.312,1.775,0.289,0.203,0.453,0.623,0.504,1.653,6.105,0.664,0.833,86.279,0
19960331,70,0.292,0.594,0.436,0.329,1.91,0.267,0.203,0.394,0.607,0.498,1.547,6.121,0.642,0.81,91.848,0
