Data Date,Company Number,Long-term Debt/Invested Capital,Total Debt/Invested Capital,Receivables/Current Assets,Total Debt/Total Assets,Total Debt/EBITDA,Long-term Debt/Total Liabilities,Cash Flow/Total Debt,Long-term Debt/Book Equity,Total Debt/Total Assets,Total Debt/Capital,Total Debt/Equity,Interest Coverage Ratio,Quick Ratio (Acid Test),Current Ratio,Cash Conversion Cycle (Days),Rating 1Q Number
20090331,54,0.284,0.295,0.462,0.219,0.697,0.448,0.403,0.4,0.47,0.348,0.892,21.337,2.376,3.086,98.147,1
20090630,54,0.312,0.317,0.448,0.24,0.874,0.494,0.403,0.454,0.478,0.364,0.92,15.303,2.465,3.214,103.299,1
20090930,54,0.333,0.334,0.407,0.26,1.124,0.536,0.403,0.5,0.482,0.377,0.932,10.513,2.707,3.471,107.006,1
20091231,54,0.304,0.364,0.343,0.277,1.521,0.491,0.309,0.438,0.47,0.381,0.891,6.993,2.437,2.99,111.769,1
20100331,54,0.327,0.356,0.363,0.277,1.602,0.534,0.309,0.487,0.476,0.385,0.911,5.827,2.621,3.273,105.676,1
20100630,54,0.31,0.354,0.359,0.271,1.44,0.506,0.309,0.451,0.471,0.381,0.892,6.725,2.481,3.065,98.743,1
20100930,54,0.293,0.35,0.371,0.264,1.292,0.474,0.309,0.415,0.466,0.376,0.877,7.74,2.283,2.828,95.122,1
20101231,54,0.269,0.269,0.442,0.209,0.929,0.483,0.28,0.369,0.432,0.324,0.763,9.737,2.519,3.223,91.532,1
20110331,54,0.274,0.301,0.419,0.23,0.924,0.471,0.28,0.378,0.445,0.347,0.802,11.251,2.324,2.948,90.032,1
20110630,54,0.263,0.276,0.443,0.213,0.802,0.469,0.28,0.358,0.432,0.331,0.762,13.204,2.341,3.012,87.731,1
20110930,54,0.252,0.252,0.457,0.195,0.687,0.462,0.28,0.338,0.422,0.318,0.73,15.9,2.326,3.021,84.183,1
20111231,54,0.267,0.267,0.439,0.204,0.791,0.461,0.352,0.365,0.442,0.335,0.793,17.675,2.186,2.809,81.492,1
20120331,54,0.253,0.253,0.452,0.193,0.648,0.45,0.352,0.339,0.429,0.323,0.752,19.146,2.184,2.848,82.269,1
20120630,54,0.253,0.253,0.449,0.192,0.674,0.445,0.352,0.339,0.432,0.324,0.762,18.165,2.132,2.81,84.523,1
20120930,54,0.253,0.253,0.449,0.192,0.745,0.444,0.352,0.34,0.433,0.325,0.765,16.36,2.094,2.799,89.124,1
20121231,54,0.234,0.234,0.442,0.176,0.792,0.415,0.314,0.306,0.424,0.303,0.737,14.62,2.083,2.754,85.176,1
20130331,54,0.239,0.239,0.457,0.18,0.841,0.422,0.314,0.315,0.427,0.312,0.747,13.327,2.073,2.792,94.433,1
20130630,54,0.237,0.237,0.469,0.177,0.864,0.412,0.314,0.311,0.43,0.31,0.754,12.997,2.038,2.747,95.838,1
20130930,54,0.272,0.272,0.483,0.202,0.959,0.439,0.314,0.374,0.459,0.342,0.852,12.659,2.034,2.73,96.036,1
20131231,54,0.365,0.365,0.451,0.267,1.294,0.501,0.285,0.576,0.534,0.428,1.149,12.206,2.069,2.727,90.808,1
20140331,54,0.337,0.337,0.483,0.248,1.146,0.485,0.285,0.51,0.512,0.405,1.052,11.651,2.013,2.703,93.93,1
20140630,54,0.363,0.363,0.478,0.267,1.216,0.503,0.285,0.572,0.532,0.43,1.137,11.44,2.021,2.7,91.891,1
20140930,54,0.352,0.352,0.477,0.259,1.147,0.496,0.285,0.545,0.523,0.422,1.1,12.079,1.994,2.649,89.298,1
19950331,82,0.22,0.354,0.557,0.189,1.17,0.201,0.22,0.249,0.584,0.419,1.407,7.329,0.595,0.853,28.383,0
19950630,82,0.214,0.352,0.565,0.186,1.201,0.194,0.22,0.241,0.585,0.419,1.414,7.411,0.586,0.842,27.775,0
