Data Date,Company Number,Long-term Debt/Invested Capital,Total Debt/Invested Capital,Receivables/Current Assets,Total Debt/Total Assets,Total Debt/EBITDA,Long-term Debt/Total Liabilities,Cash Flow/Total Debt,Long-term Debt/Book Equity,Total Debt/Total Assets,Total Debt/Capital,Total Debt/Equity,Interest Coverage Ratio,Quick Ratio (Acid Test),Current Ratio,Cash Conversion Cycle (Days),Rating 1Q Number
20070331,15,0.283,0.369,0.509,0.209,1.325,0.269,0.215,0.456,0.594,0.517,2.343,5.639,0.591,0.642,21.199,1
20070630,15,0.274,0.342,0.539,0.195,1.22,0.267,0.215,0.449,0.585,0.497,2.248,6.157,0.603,0.659,21.199,1
20070930,15,0.268,0.313,0.581,0.182,1.11,0.27,0.215,0.454,0.575,0.478,2.172,6.807,0.622,0.685,21.199,1
20071231,15,0.254,0.281,0.63,0.167,1.002,0.271,0.247,0.431,0.557,0.413,2.058,7.494,0.686,0.756,16.891,1
20080331,15,0.267,0.293,0.599,0.175,1.033,0.283,0.247,0.461,0.563,0.469,2.102,7.82,0.696,0.767,16.891,1
20080630,15,0.271,0.31,0.603,0.185,1.102,0.286,0.247,0.471,0.564,0.482,2.142,7.869,0.664,0.736,16.891,1
20080930,15,0.28,0.329,0.589,0.198,1.197,0.296,0.247,0.493,0.568,0.497,2.195,7.594,0.652,0.727,16.891,1
20081231,15,0.373,0.413,0.451,0.257,1.59,0.38,0.216,0.878,0.61,0.572,2.96,7.058,0.926,1.007,22.86,1
20090331,15,0.344,0.413,0.553,0.25,1.557,0.346,0.216,0.701,0.602,0.578,2.712,6.249,0.639,0.714,22.86,1
20090630,15,0.377,0.436,0.538,0.269,1.677,0.377,0.216,0.828,0.617,0.61,2.991,5.706,0.683,0.766,22.86,1
20090930,15,0.402,0.455,0.529,0.283,1.764,0.396,0.216,0.936,0.629,0.636,3.269,5.397,0.714,0.798,22.86,1
20091231,15,0.395,0.447,0.559,0.274,1.744,0.385,0.221,0.904,0.629,0.615,3.434,5.162,0.697,0.776,24.972,1
20100331,15,0.402,0.447,0.557,0.278,1.77,0.397,0.221,0.923,0.629,0.641,3.392,5.15,0.719,0.798,24.972,1
20100630,15,0.39,0.44,0.558,0.269,1.797,0.38,0.221,0.882,0.627,0.642,3.46,4.766,0.698,0.757,24.972,1
20100930,15,0.379,0.431,0.556,0.26,1.801,0.366,0.221,0.848,0.625,0.643,3.539,4.529,0.696,0.742,24.972,1
20101231,15,0.342,0.399,0.53,0.24,1.512,0.34,0.251,0.737,0.605,0.595,3.451,5.339,0.693,0.73,20.757,1
20110331,15,0.357,0.419,0.495,0.251,1.621,0.348,0.251,0.784,0.615,0.64,3.557,5.41,0.729,0.764,20.757,1
20110630,15,0.351,0.409,0.482,0.248,1.527,0.351,0.251,0.767,0.607,0.635,3.498,6.011,0.765,0.804,20.757,1
20110930,15,0.348,0.411,0.449,0.248,1.489,0.346,0.251,0.745,0.607,0.633,3.5,6.372,0.78,0.818,20.757,1
20111231,15,0.369,0.405,0.382,0.239,1.877,0.348,0.206,0.824,0.627,0.623,4.019,3.94,0.975,1.006,14.844,1
20120331,15,0.354,0.395,0.441,0.238,1.79,0.349,0.206,0.764,0.611,0.634,3.659,4.257,0.867,0.905,14.844,1
20120630,15,0.352,0.394,0.423,0.236,1.732,0.345,0.206,0.761,0.612,0.636,3.73,4.626,0.919,0.954,14.844,1
20120930,15,0.349,0.386,0.427,0.233,1.65,0.347,0.206,0.766,0.608,0.638,3.752,5.135,0.967,1.004,14.844,1
20121231,15,0.358,0.39,0.593,0.231,1.699,0.341,0.225,0.823,0.62,0.631,4.213,4.749,0.748,0.788,10.97,1
20130331,15,0.339,0.39,0.474,0.231,1.656,0.33,0.225,0.751,0.608,0.647,3.91,5.162,0.857,0.892,10.97,1
20130630,15,0.335,0.391,0.506,0.229,1.589,0.322,0.225,0.741,0.61,0.65,4.002,5.553,0.79,0.826,10.97,2
20130930,15,0.388,0.443,0.343,0.267,1.872,0.37,0.225,0.939,0.632,0.691,4.434,6.185,1.171,1.205,10.97,2
20131231,15,0.484,0.506,0.175,0.341,1.927,0.502,0.217,1.329,0.652,0.717,4.601,11.749,2.587,2.625,7.015,2
20140331,15,0.535,0.571,0.257,0.354,1.778,0.465,0.217,1.362,0.712,0.769,5.879,11.128,1.661,1.698,7.015,2
20140630,15,0.647,0.675,0.26,0.414,2.035,0.507,0.217,1.653,0.784,0.821,7.702,9.634,1.71,1.748,7.015,2
20140930,15,0.742,0.76,0.358,0.447,2.094,0.514,0.217,1.737,0.849,0.852,9.673,8.011,1.302,1.342,7.015,2
19950331,16,0.343,0.431,0.657,0.276,1.262,0.379,0.261,0.409,0.579,0.427,1.38,5.962,0.675,0.749,30.381,0
19950630,16,0.353,0.442,0.667,0.286,1.248,0.394,0.261,0.435,0.581,0.438,1.394,5.839,0.691,0.766,27.551,0
19950930,16,0.364,0.451,0.677,0.296,1.231,0.41,0.261,0.464,0.583,0.446,1.403,5.961,0.717,0.792,25.021,0
19951231,16,0.394,0.541,0.58,0.341,1.389,0.402,0.276,0.573,0.618,0.516,1.667,5.871,0.822,0.88,5.987,0
19960331,16,0.392,0.49,0.647,0.322,1.239,0.429,0.276,0.552,0.6,0.48,1.511,5.97,0.822,0.892,16.172,0
19960630,16,0.388,0.489,0.642,0.319,1.222,0.423,0.276,0.547,0.6,0.479,1.512,6.223,0.848,0.918,15.511,0
19960930,16,0.385,0.492,0.629,0.32,1.211,0.416,0.276,0.542,0.601,0.479,1.514,6.431,0.874,0.942,13.985,0
19961231,16,0.372,0.47,0.649,0.314,1.205,0.43,0.311,0.526,0.58,0.469,1.425,6.628,0.908,0.978,6.531,0
19970331,16,0.375,0.469,0.653,0.31,1.143,0.421,0.311,0.521,0.587,0.463,1.434,6.836,0.899,0.968,15.623,0
19970630,16,0.366,0.467,0.649,0.306,1.125,0.412,0.311,0.502,0.583,0.46,1.412,6.862,0.881,0.946,11.394,0
19970930,16,0.358,0.458,0.636,0.301,1.102,0.407,0.311,0.487,0.579,0.452,1.384,6.89,0.899,0.961,11.033,0
19971231,16,0.319,0.48,0.585,0.305,1.174,0.356,0.341,0.422,0.568,0.459,1.361,7.159,0.879,0.924,7.341,0
